dataset_id	publication	year	repository	accession	modality	n_patients	n_samples	primary_or_metastatic	metastatic_site	treatment_annotation	molecular_annotation	matched_samples	raw_available	processed_available	estimated_download_size	clinical_relevance_score	target_discovery_value	priority	status	reason
CRC_organoid_CRISPR_dependency	CRC organoid CRISPR screening source family	2025	GEO	GSE263580;GSE263581;GSE263582	CRISPR_dependency	UNKNOWN	UNKNOWN	ORGANOID	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	YES	UNKNOWN	UNKNOWN	1	1	REFERENCE_ONLY	CANDIDATE	Official GEO family identified; current records are engineered colorectal adenocarcinoma organoid screens in Mus musculus and are retained as reference-only, not as the intended patient-derived-human dependency cohort.
CRC_Perturb_seq	CRC pooled single-cell CRISPR/Perturb-seq resources	2026	EGA	EGAS50000000256	perturbation_single_cell	UNKNOWN	UNKNOWN	CELL_LINES	NA	UNKNOWN	UNKNOWN	UNKNOWN	YES	UNKNOWN	UNKNOWN	2	3	P1_DOWNLOAD	CANDIDATE	Official EGA study identified for Perturb-seq in HT29 and SW480 MSS CRC cell lines; controlled-access terms and exact file inventory remain under review.
HPA_normal_tissue	Human Protein Atlas normal-tissue reference	2026	HPA	HPA	protein_RNA_IHC	UNKNOWN	UNKNOWN	NORMAL_REFERENCE	MULTI_ORGAN	NA	PROTEIN_AND_RNA	NO	YES	UNKNOWN	UNKNOWN	0	3	P0_DOWNLOAD	CANDIDATE	Official HPA portal verified; three v25.1 atlas exports plus one static cell.svg asset indexed; minimum organ subset, third-party terms, file sizes and checksums remain pending.
GTEx_normal_tissue	GTEx normal tissue reference	UNKNOWN	GTEx	GTEx	bulk_RNA	UNKNOWN	UNKNOWN	NORMAL_REFERENCE	MULTI_ORGAN	NA	RNA	NO	YES	UNKNOWN	UNKNOWN	0	2	REFERENCE_ONLY	CANDIDATE	Bulk RNA comparator only; cannot establish ADC window alone.
CRLM_NMP_ATLAS	Ex vivo modelling of human colorectal cancer liver metastasis by normothermic machine perfusion	2025	Zenodo_CELLxGENE	10.5281/zenodo.15234826	scRNA-seq_spatial_transcriptomics_ex_vivo	6	UNKNOWN	METASTASIS	LIVER	EX_VIVO_PERFUSION_WINDOW	UNKNOWN	YES	YES	YES	8.2 GB h5ad/code package plus CELLxGENE collection	3	3	P0_DOWNLOAD	CANDIDATE	Canonical processed resource from six CRLM patients; CELLxGENE lists 75,104 cells across baseline and post-perfusion windows; sample count and exact file inventory remain to be recorded.
HTAN_CRC_progressive_plasticity	Progressive plasticity during colorectal cancer metastasis	2025	CELLxGENE_HTAN	1cbfb478-2c7f-4d15-b522-9f74e9fe52a8	scRNA-seq	31	83	PRIMARY_AND_METASTASIS	MULTI_SITE	SURGICAL_RESECTION_CONTEXT	MSS	YES	YES	YES	CELLxGENE collection; exact source package size pending	3	3	P0_DOWNLOAD	CANDIDATE	31 MSS patients and 83 tumor/normal samples across primary and metastases; systemic treatment exposure is unknown; strong malignant-state and plasticity value.
GSE159216	Gene expression profiling of colorectal cancer liver metastases	UNKNOWN	GEO	GSE159216	bulk_RNA_microarray	171	283	METASTASIS	LIVER	UNKNOWN	LMS_SUBTYPE	UNKNOWN	YES	YES	205.8 MB processed CHP files; 7.27 GB raw CEL files	2	2	REFERENCE_ONLY	CANDIDATE	Official GEO record verifies 171 patients and 283 samples; filelist verifies 283 processed CHP files and 283 raw CEL files; comparator only, no malignant-cell-state claim, no default download.
Zenodo_CRC_LM_scRNA	Single-cell RNA-seq dataset and code for human colorectal cancer liver metastasis study	2023	Zenodo	10.5281/zenodo.10073712	scRNA-seq	UNKNOWN	UNKNOWN	METASTASIS	LIVER	UNKNOWN	UNKNOWN	UNKNOWN	YES	YES	8.2 GB data package	2	3	REFERENCE_ONLY	CANDIDATE	Alias/source mirror candidate for CRLM_NMP_ATLAS: same 8.2 GB data share.zip and checksum observed; retain for provenance but do not count as independent biological evidence.
GSE117548	The drug-induced phenotypic landscape of colorectal cancer organoids	2022	GEO	GSE117548	expression_array_PDO_drug_response	16	25	ORGANOID	NA	MULTI_COMPOUND_SCREEN	EXPRESSION_ARRAY	NO	YES	YES	115.3 MB raw CEL archive; processed values in sample table	3	3	P0_DOWNLOAD	CANDIDATE	Official GEO record reports 16 human CRC PDOs and 25 samples, with >500-compound phenotypic screening context; only expression-array processed/sample-table availability is confirmed, while image and compound-level response files require separate verification.
GSE274551	Results of the Phase I/II Study and Preliminary B-cell Gene Signature of Combined Inhibition of Glutamine Metabolism and EGFR in Colorectal Cancer	2025	GEO	GSE274551	RNA-seq_bulk_tumor_biopsy	UNKNOWN	35	METASTASIS	LIVER;LUNG;LYMPH_NODE;RECTUM_UNCLEAR	PHASE_I_II_TRIAL_CB839_PANITUMUMAB_IRINOTECAN_AFTER_PRIOR_ANTI_EGFR_PROGRESSION	RAS_WT	NO	YES	YES	1.1 MB processed count matrix (GSE274551_countdata_final.csv.gz); raw via SRA PRJNA1147199, size not stated	3	3	P0_DOWNLOAD	CANDIDATE	Verified via GEO + Europe PMC 2026-08-21: official GEO record confirms 35 tumor-core biopsies (Homo sapiens), GPL24676; associated publication Ciombor et al., Clin Cancer Res 2025;31(8):1437-1448, PMID 39927885, DOI 10.1158/1078-0432.CCR-24-3133 -- Phase I/II trial of CB-839+panitumumab(+irinotecan) in RAS-WT mCRC patients who previously progressed on anti-EGFR therapy; response labels (NE/PD/PR/SD) reflect response to this new combination, not to anti-EGFR. Single processed file confirmed (GSE274551_countdata_final.csv.gz, 1.1 MB); no per-patient longitudinal pairing -- consistent with refractory_or_treated_presence classification in module_classification.tsv, not persistence.
GSE225857	Single-cell and spatial transcriptome analysis reveals the cellular heterogeneity of liver metastatic colorectal cancer	2023	GEO	GSE225857	scRNA-seq_and_spatial	6	27	PRIMARY_AND_METASTASIS	LIVER	CHEMOTHERAPY_AND_OR_RT_PREOPERATIVE	UNKNOWN	YES	PARTIAL	YES	607 MB GEO RAW.tar (processed); additional raw scRNA hosted at CNSA CNP0002540/CNP0003321 (China National GeneBank, patient-privacy restricted), not on GEO, size not stated	3	3	P0_DOWNLOAD	CANDIDATE	"Verified via GEO + Europe PMC 2026-08-21: GEO series formally lists only 8 GSM samples; publication (Science Advances 2023, PMID 37327339, DOI 10.1126/sciadv.adf5464) abstract confirms the true study scope is 27 samples / 6 patients -- the 27-sample figure in the architecture doc is publication-level, not GEO-GSM-level; most raw single-cell data lives at CNSA (CNP0002540, CNP0003321), not GEO, for patient-privacy reasons. Corrected 2026-08-21 (PR #71 review): GEO's own ""Overall design"" field states verbatim ""All the patients received preoperative chemotherapy and/or radiotherapy"" -- treatment_annotation restored from an incorrectly downgraded UNKNOWN back to CHEMOTHERAPY_AND_OR_RT_PREOPERATIVE, sourced to that field directly."
GSE84267	Transcriptomics changes in liver metastatic biopsies of colorectal carcinoma between pre-treated and acquired resistance to Cetuximab [mRNA]	2019	GEO	GSE84267	RNA-seq_mRNA_and_small_RNA	2	4	METASTASIS	LIVER	CETUXIMAB_PLUS_FOLFOX_PRETREATED_TO_ACQUIRED_RESISTANCE_PAIRED	UNKNOWN	YES	YES	YES	880 KB (GSE84267_RAW.tar, TXT files)	2	2	P1_DOWNLOAD	CANDIDATE	Verified via GEO 2026-08-21: official GEO record confirms 2 patients (mCRC001, mCRC002), 4 samples = pre-treated and acquired-cetuximab-resistance paired liver biopsies each; PMID 31018951; tumor purity >50% confirmed by two pathologists per GEO summary; treatment was cetuximab combined with FOLFOX chemotherapy, not cetuximab alone. This is the only genuine paired pre/post-treatment design among Module C's registered datasets -- consistent with its longitudinal_persistence classification.
PXD055821	Proteomic landscape of colorectal cancer derived liver metastasis reveals three distinct phenotypes with specific signalling and enhanced survival	2025	PRIDE	PXD055821	proteomics_mass_spec	152	UNKNOWN	METASTASIS	LIVER	UNKNOWN	THREE_PROTEOMIC_PHENOTYPES_CRLM_SD_CA_OM	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	3	3	P0_DOWNLOAD	CANDIDATE	Verified via ProteomeXchange 2026-08-21: official record confirms 152 CRC-liver-metastasis samples from 3 centers (Germany, Australia), Q Exactive HF / Orbitrap Fusion instruments, stratified into 3 proteomic phenotypes (CRLM-SD, CRLM-CA, CRLM-OM) with distinct signalling and survival association; DOI 10.1016/J.MCPRO.2025.101026, Molecular & Cellular Proteomics. File-level inventory and license terms not obtained in this pass; deferred rather than guessed.
PXD022613	Characterization of Biomarkers in Colorectal Cancer Liver Metastases as a Prognostic Tool	2021	PRIDE	PXD022613	proteomics_mass_spec	58	UNKNOWN	METASTASIS	LIVER	UNKNOWN	UNKNOWN	NO	UNKNOWN	UNKNOWN	UNKNOWN	3	3	P0_DOWNLOAD	CANDIDATE	Verified via ProteomeXchange 2026-08-21: official record confirms 58 CRLM patients in two cohorts by recurrence timing (29 <12 months / 29 >12 months post-resection), Q Exactive instrument; PMID 34834411, DOI 10.3390/jpm11111059, Journal of Personalized Medicine 11(11), 2021; PRIDE FTP archive ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD022613. Two independent cross-sectional cohorts by outcome, not paired same-patient samples. File-level inventory not obtained in this pass.
GSE196576	Tumor immunogenomic features determine outcomes in metastatic colorectal cancer patients treated with standard-of-care combinations of bevacizumab and cetuximab (CALGB/SWOG 80405)	2022	GEO	GSE196576	RNA-seq_bulk	UNKNOWN	579	UNKNOWN	NA	FIRST_LINE_BEVACIZUMAB_CETUXIMAB_CHEMOTHERAPY_TRIAL	UNKNOWN	NO	YES	YES	22.4 MB processed CSV; raw via SRA SRP359396	2	2	P1_DOWNLOAD	CANDIDATE	"Verified via GEO 2026-08-21: GEO series has 579 total samples (source sample count); 469 primary tumors were analyzed in the immune-signature outcome study (analytic subset, not the full source count -- corrected 2026-08-21, PR #71 review, to stop conflating the two in a single n_samples field). Trial is CALGB/SWOG 80405 (first-line mCRC, bevacizumab/cetuximab + chemo). GEO submission itself is 2022; the immune-signature outcome analysis this dataset informs was published more recently (PMID 39779996, 2025). Population-scale, first-line, response/outcome-association context -- consistent with clinical_endpoint_context classification, not persistence. Corrected 2026-08-21 (PR #71 round 3 review, independently re-confirmed via GEO fetch): primary_or_metastatic was oversimplified as PRIMARY; GEO's own Overall design field states verbatim ""RNA-seq of 469 primary mCRC tumors, metastatic samples, or tumors of unknown origin"" -- the 469-profile analytic subset is a mix of primary, metastatic, and unknown-origin tumors, not a pure primary cohort. Do not read this as a primary-tumor-only endpoint validation source."
GSE294385	Spatial Multi-Omics Landscape of Colorectal Cancer Macro- and Micrometastases	2025	GEO	GSE294385	spatial_transcriptomics	11	37	PRIMARY_AND_METASTASIS	LIVER;LUNG	MRD_DFS_CHEMO_RESISTANCE_CONTEXT	UNKNOWN	UNKNOWN	YES	YES	7.9 GB (GSE294385_RAW.tar); processed matrix via series matrix files	2	2	P1_DOWNLOAD	CANDIDATE	Verified via GEO 2026-08-21: official GEO record confirms 11 patients, 37 samples (primary CRC, liver metastases CLiM, lung metastases CLuM), 341,328 spatially resolved spots; identifies a CLiMi-specific six-gene signature associated with MRD status, DFS and chemotherapy resistance -- matches architecture-doc figures exactly. No associated publication is linked on GEO yet (submitted 2025, public 2026); do not fabricate a citation. Macro-/micrometastatic presence context, not a classic pre/post longitudinal design -- consistent with refractory_or_treated_presence classification.
GSE235919	First-line durvalumab and tremelimumab with chemotherapy in RAS-mutated metastatic colorectal cancer: a phase 1b/2 trial [RNA-Seq] (MEDITREME)	2023	GEO	GSE235919	RNA-seq_bulk	UNKNOWN	34	UNKNOWN	UNKNOWN	FIRST_LINE_DURVALUMAB_TREMELIMUMAB_CHEMOTHERAPY_TRIAL_MEDITREME	RAS_MUTANT;MSS	NO	YES	YES	2.7 MB processed TPM matrix (GSE235919_TPM.txt.gz); raw via SRA BioProject PRJNA988034	2	2	P1_DOWNLOAD	CANDIDATE	Verified via GEO 2026-08-21: official GEO record confirms 34 tumor-biopsy samples, all RAS-mutant, MSS mCRC, responders vs non-responders to first-line durvalumab+tremelimumab+chemo (MEDITREME trial); PMID 37563240 (Nature Medicine), shared with GSE235917 (scRNA-seq companion series). A second PMID (42322272) surfaced in one automated lookup could not be independently corroborated and is deliberately not recorded to avoid propagating an unverified citation.
GSE235917	First-line durvalumab and tremelimumab with chemotherapy in RAS-mutated metastatic colorectal cancer: a phase 1b/2 trial [scRNA-Seq] (MEDITREME)	2023	GEO	GSE235917	scRNA-seq	UNKNOWN	8	UNKNOWN	UNKNOWN	FIRST_LINE_DURVALUMAB_TREMELIMUMAB_CHEMOTHERAPY_TRIAL_MEDITREME	RAS_MUTANT;MSS	UNKNOWN	YES	YES	~59.9 MB across 7 processed files (expression matrix, barcode/feature files, TCR clonotype data)	2	2	P1_DOWNLOAD	CANDIDATE	"Corrected 2026-08-21 (PR #71 review): previously misclassified as Module C prevalence/localization support (""confirms candidate is tumor-cell localized rather than bulk/TME""), but the verified source_manifest.tsv and official GEO record both confirm this series is PBMC/tumor-infiltrating-lymphocyte scRNA-seq (immune cells), not malignant epithelial cells -- it cannot support a tumor-cell-localization claim. Reclassified out of Module C into SUPPLEMENT_FROZEN; only activate later for a specific target's immune/TME expression-liability question, never as default prevalence evidence. MEDITREME trial (RAS-mutant, MSS mCRC), PMID 37563240, 8 samples."
GSE5851	Expression of epiregulin and amphiregulin and K-ras mutation status predict disease control in metastatic colorectal cancer patients treated with cetuximab	2007	GEO	GSE5851	expression_array_Affymetrix_U133A	UNKNOWN	80	METASTASIS	UNKNOWN	CETUXIMAB_MONOTHERAPY_PHASE_II_PHARMACOGENOMICS_PRETREATMENT_BIOPSY	UNKNOWN	NO	YES	YES	152.1 MB (GSE5851_RAW.tar, CEL files); processed values in series matrix/sample tables	2	2	P1_DOWNLOAD	CANDIDATE	Verified via GEO + Europe PMC 2026-08-21: official GEO record confirms 80 samples, pretreatment metastatic-site biopsies, disease-control vs non-responder comparison in cetuximab-monotherapy patients; PMID 17664471, DOI 10.1200/jco.2006.10.5437, J Clin Oncol 2007 (title/year corrected 2026-08-21, PR #71 review -- an earlier pass had recorded a GEO-series-style title/2008 instead of the actual peer-reviewed publication). Platform GPL571 (Affymetrix HG-U133A 2.0); sponsor Bristol-Myers Squibb. Old platform, bulk, not post-treatment refractory tissue -- consistent with clinical_endpoint_context classification.
CSPA_PXD000589	A Mass Spectrometric-Derived Cell Surface Protein Atlas	2015	PRIDE	PXD000589	cell_surface_capture_mass_spec	NA	UNKNOWN	NA	NA	NA	UNKNOWN	NA	UNKNOWN	YES	UNKNOWN	2	2	P1_DOWNLOAD	CANDIDATE	Verified via PMC 2026-08-21: Bausch-Fluck et al., PLoS One 2015, PMID 25894527, DOI 10.1371/journal.pone.0121314. Cell Surface Capture technology across 41 human + 31 mouse cell types (cell lines, not patients); ~1,492 human surface glycoproteins catalogued (240 CD proteins, 346 receptors). Primary practical access is the interactive database at http://wlab.ethz.ch/cspa (downloadable matrices/spectral libraries), not raw PXD000589 files -- recorded as an additional source_url. Reclassified to Module F (delivery/surfaceome-accessibility reference); no mCRC patient prevalence information.
CPTAC_COAD	Proteogenomic Analysis of Human Colon Cancer Reveals New Therapeutic Opportunities	2019	CPTAC_PDC	CPTAC-COAD	proteogenomics_paired_tumor_normal	UNKNOWN	UNKNOWN	PRIMARY	NA	UNKNOWN	UNKNOWN	YES	UNKNOWN	UNKNOWN	UNKNOWN	1	1	REFERENCE_ONLY	CANDIDATE	Verified via Europe PMC 2026-08-21: landmark CPTAC colon cancer publication is Vasaikar et al., Cell 2019, PMID 31031003, DOI 10.1016/j.cell.2019.03.030 -- prospectively collected colon cancer cohort, paired tumor/normal proteomic and phosphoproteomic profiling, catalog of colon-cancer-associated proteins/phosphosites/drug targets. The Proteomic Data Commons (PDC) portal itself is a JavaScript single-page app and could not be fetched for exact study ID, case count or file inventory in this pass -- deferred, not guessed. Candidate-specific orthogonal check only; primary not metastatic/refractory.
HPA_CRC_cancer_tissue	UNKNOWN	UNKNOWN	HPA	HPA_cancer	protein_IHC_MS	UNKNOWN	UNKNOWN	PRIMARY	NA	NA	UNKNOWN	UNKNOWN	NO	YES	UNKNOWN	2	2	P1_DOWNLOAD	CANDIDATE	Verified via HPA portal 2026-08-21: official Human Protein Atlas cancer-proteome page (v25.1, Ensembl v109) confirms IHC staining profiles across 20 human tumor tissue types including colorectal, plus a survival-correlation layer (21 TCGA cancer types), an RNA-expression layer (8,384 cancer samples), and a CPTAC mass-spec cross-reference layer (11 cancers) -- exactly matches the architecture doc's 'HPA colorectal cancer IHC + CPTAC-MS layer' framing. All four downloads are TSV/TSV.zip. Per-cancer-type file sizes and the full licence text (linked from a separate /about/licence page) not obtained in this pass.
