target_id	target_symbol	hgnc_id	uniprot_id	adcdb_highest_clinical_stage	adcdb_cancer_types_with_precedent	adcdb_payload_precedent	human_adc_exposure_evidence	derisking_tier	repurposing_status	source_id	source_reference	last_synced	notes
tgt_erbb2	ERBB2	HGNC:3430	P04626	APPROVED	Colon Cancer AJCC v8; Colon Carcinoma; Colorectal Cancer; Colorectal Cancer AJCC v8; Colorectal Carcinoma; Colorectal Neoplasm; Colorectal Neoplasms; HER2-positive Colorectal Cancer (+220 more distinct root terms, 322 raw indication strings total)	DM1; MMAE; exatecan-derivative (topo1i)	YES	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE;ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN;ADC_CANDIDATE_DISITAMAB_VEDOTIN | antigen:TAR0THKZD	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_erbb3	ERBB3	HGNC:3431	P21860	PHASE2	Breast Cancer; Breast Neoplasms; EGFR Gene Mutation; Malignant Neoplasm; Non-Small Cell Lung Carcinoma; Non-Small Cell Squamous Lung Cancer; Solid Tumor, Adult	exatecan-derivative (topo1i)	UNKNOWN	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_ADC_SUFFIX_76452e9163ef | antigen:TAR0MYDAB	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_f3	F3	HGNC:3541	P13726	APPROVED	Colorectal Neoplasms; Bladder Cancer; Breast Cancer; Carcinoma, Non-Small-Cell Lung; Carcinoma, Squamous Cell of Head and Neck; Cervical Cancer; Cervix Cancer; Endometrium Cancer (+19 more distinct root terms, 27 raw indication strings total)	MMAE	YES	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_TISOTUMAB_VEDOTIN | antigen:TAR0ZIMMG	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_folr1	FOLR1	HGNC:3791	P15328	APPROVED	Anatomic Stage II Breast Cancer AJCC v8; Anatomic Stage IIA Breast Cancer AJCC v8; Anatomic Stage IIB Breast Cancer AJCC v8; Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IIIA Breast Cancer AJCC v8; Anatomic Stage IIIB Breast Cancer AJCC v8; Anatomic Stage IIIC Breast Cancer AJCC v8; Anatomic Stage IV Breast Cancer AJCC v8 (+46 more distinct root terms, 56 raw indication strings total)	DM4	YES	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_MIRVETUXIMAB_SORAVTANSINE | antigen:TAR0QHAVI	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_itgb6	ITGB6	HGNC:6161	P18564	PHASE3	Carcinoma, Non-Small-Cell Lung; Carcinoma, Non-Small-Cell Lung (NSCLC); Non-Small Cell Lung Cancer	MMAE	UNKNOWN	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_ADC_SUFFIX_1a81094bebf4 | antigen:TAR0AIVIM	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_met	MET	HGNC:7029	P08581	PHASE1	Solid Tumors Cancer	MMAE	UNKNOWN	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_ADC_SUFFIX_8e37de9e1d6b | antigen:TAR0AIJKM	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_nectin4	NECTIN4	HGNC:19688	Q96NY8	APPROVED	Colorectal Cancer; Androgen-Resistant Prostatic Neoplasms; Bellini Carcinoma; Bladder Adenocarcinoma; Bladder Cancer; Bladder Cancer AJCC v8; Bladder Carcinoma; Bladder Squamous Cell Carcinoma (+71 more distinct root terms, 93 raw indication strings total)	MMAE	YES	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_ENFORTUMAB_VEDOTIN;ADC_CANDIDATE_ADC_SUFFIX_e1a3cb555c56 | antigen:TAR0MWTFE	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_ror1	ROR1	HGNC:10256	Q01973	PHASE2	B-cell Acute Lymphoblastic Leukemia; Burkitt Lymphoma; Diffuse Large B-cell Lymphoma; Ewing Sarcoma; Neuroblastoma	MMAE	UNKNOWN	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_ADC_SUFFIX_9feb2b8bd0bf | antigen:TAR0LTTSS	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_ror2	ROR2	HGNC:10257	Q01974	PHASE2	Cancer; Head and Neck Cancer; Squamous Cell Carcinoma of Head and Neck; Squamous Cell Carcinoma of the Head and Neck	MMAE	UNKNOWN	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_ADC_SUFFIX_c96d607d7f9f | antigen:TAR0DJPZG	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_slc39a6	SLC39A6	HGNC:18607	Q13433	PHASE1	HER2 Mutations Breast Neoplasms; HER2 Positive Breast Neoplasms; Hormone Receptor Positive Breast Neoplasms; Triple Negative Breast Neoplasms	MMAE	UNKNOWN	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_ADC_SUFFIX_1c9d743cf54f | antigen:TAR0CHCZT	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_tacstd2	TACSTD2	HGNC:11530	P09758	APPROVED	Colorectal Cancer; Additional Indications Below for Module 4 and 5; Anaplastic Thyroid Cancer; Anatomic Stage IV Breast Cancer AJCC v8; Angiosarcoma; Biliary Cancer; Biliary Tract Cancer; Bladder Cancer (+107 more distinct root terms, 139 raw indication strings total)	SN-38; exatecan-derivative (topo1i)	YES	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_SACITUZUMAB_GOVITECAN;ADC_CANDIDATE_DATOPOTAMAB_DERUXTECAN | antigen:TAR0MIBZW	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_tnfrsf17	TNFRSF17	HGNC:11913	Q02223	APPROVED	AL Amyloidosis; AND/OR REFRACTORY MULTIPLE MYELOMA; Anaplastic Lymphoma Kinase Positive Large B-Cell Lymphoma; Cancer; Multiple Myeloma; Multiple Myeloma, Refractory; Myeloma; Plasma Cell Myeloma (+4 more distinct root terms, 19 raw indication strings total)	MMAF	YES	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_BELANTAMAB_MAFODOTIN | antigen:TAR0KQONX	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_tnfrsf8	TNFRSF8	HGNC:11923	P28908	APPROVED	AIDS-Related Hodgkin Lymphoma; Acute Lymphoid Leukemia; Acute Myelogenous Leukemia; Acute Myeloid Leukemia; Anaplastic Large Cell Lymphoma; Anaplastic Large Cell Lymphoma, ALK-Negative; Anaplastic Large Cell Lymphoma, ALK-Positive; Anaplastic Large-Cell Lymphoma (+71 more distinct root terms, 136 raw indication strings total)	MMAE	YES	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_BRENTUXIMAB_VEDOTIN | antigen:TAR0QPCSQ	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
