dataset_id	verification_status	verified_source	accession	publication_or_record	patient_or_model_scope	processed_data_status	raw_data_status	download_method	next_action
Zenodo_CRC_LM_scRNA	VERIFIED_ENTRY	https://zenodo.org/records/10073712	10.5281/zenodo.10073712	NA	Open human CRLM scRNA package; data 8.2 GB	AVAILABLE_IN_RECORD	AVAILABLE_IN_RECORD	Retain as provenance alias; do not download/count independently	Alias/source-mirror candidate for CRLM_NMP_ATLAS; same archive size/checksum observed; resolve underlying identity before use.
GSE274551	VERIFIED_LANDING_PAGE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274551	GSE274551	PMID:39927885	35 tumor-core biopsies; RAS-WT mCRC progressed on prior anti-EGFR therapy; CB-839+panitumumab(+irinotecan) phase I/II trial	AVAILABLE_SINGLE_CSV	AVAILABLE_IN_SRA	GEO processed count matrix first; no raw download	File inventory recorded (single processed file). Next gate: patient count, molecular annotation beyond RAS-WT, license/citation terms.
GSE225857	VERIFIED_LANDING_PAGE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225857	GSE225857	PMID:37327339	6 patients; 27 samples per publication (8 GSM formally on GEO); primary/liver-metastasis/adjacent/PBMC	PARTIAL_ON_GEO	PARTIAL_CNSA_PRIVACY_RESTRICTED	GEO RAW.tar first; CNSA raw data access terms not yet reviewed	Reconcile the GEO-vs-CNSA sample-count gap before any download; review CNSA access terms; treatment_annotation still UNKNOWN.
GSE84267	VERIFIED_LANDING_PAGE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84267	GSE84267	PMID:31018951	2 patients; 4 samples; paired pre-cetuximab+FOLFOX / acquired-resistance liver biopsies	AVAILABLE_RAW_TAR_TXT	AVAILABLE_IN_TAR	GEO raw archive (small, TXT files) first	Genuine paired longitudinal design confirmed. Next gate: molecular annotation, license/citation terms.
GSE196576	VERIFIED_LANDING_PAGE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196576	GSE196576	PMID:39779996	579 total samples / 469 primary tumors analyzed; CALGB/SWOG 80405 first-line trial	AVAILABLE_SINGLE_CSV	AVAILABLE_IN_SRA	GEO processed CSV first	Confirm exact processed-file name via filelist. Next gate: patient count, molecular annotation, license/citation terms.
GSE294385	VERIFIED_LANDING_PAGE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385	GSE294385	NO_PUBLICATION_LINKED_YET	11 patients; 37 samples; primary/liver-met/lung-met macro- and micrometastases; 341,328 spatial spots	AVAILABLE_SERIES_MATRIX	AVAILABLE_RAW_TAR_7.9GB	GEO metadata and processed context first; raw archive is large, deferred	No associated publication yet -- re-check periodically. Next gate: matched-sample status, molecular annotation.
GSE235919	VERIFIED_LANDING_PAGE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235919	GSE235919	PMID:37563240	34 RAS-mutant MSS mCRC tumor biopsies; MEDITREME trial responders vs non-responders	AVAILABLE_SINGLE_TPM	AVAILABLE_IN_SRA	GEO processed TPM matrix first	File inventory recorded (single processed file). Next gate: patient count, primary/metastatic site, license/citation terms.
GSE235917	VERIFIED_LANDING_PAGE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235917	GSE235917	PMID:37563240	8 samples; MEDITREME trial scRNA-seq (PBMC/TIL); same cohort as GSE235919	AVAILABLE_7_FILES	AVAILABLE_IN_SRA	GEO processed files first	Confirm exact processed-file names via filelist. Next gate: patient count, sample pairing.
GSE5851	VERIFIED_LANDING_PAGE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE5851	GSE5851	PMID:17664471	80 samples; pretreatment metastatic-site biopsies; cetuximab-monotherapy phase II pharmacogenomics	AVAILABLE_SERIES_MATRIX	AVAILABLE_RAW_TAR_CEL	GEO raw archive (CEL files), deferred; processed values in sample tables	Old Affymetrix platform confirmed. Next gate: patient count, metastatic site detail, license/citation terms.
PXD055821	VERIFIED_LANDING_PAGE	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD055821	PXD055821	DOI:10.1016/J.MCPRO.2025.101026	152 CRLM samples; 3 centers (Germany, Australia); 3 proteomic phenotypes (CRLM-SD/CA/OM)	UNKNOWN	UNKNOWN	PRIDE/ProteomeXchange metadata first	Query PRIDE API file listing (as done for PXD038149) before any download.
PXD022613	VERIFIED_LANDING_PAGE	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD022613-1	PXD022613	PMID:34834411	58 CRLM patients; two cohorts by recurrence timing (29 <12mo / 29 >12mo)	UNKNOWN	UNKNOWN	PRIDE/ProteomeXchange metadata first	Query PRIDE API file listing before any download.
CSPA_PXD000589	VERIFIED_LANDING_PAGE	https://pmc.ncbi.nlm.nih.gov/articles/PMC4404347/	PXD000589	PMID:25894527	41 human + 31 mouse cell types (cell lines, not patients); ~1,492 human surface glycoproteins	UNKNOWN	UNKNOWN	Publication + PRIDE accession metadata first; interactive DB at wlab.ethz.ch/cspa also recorded	Query PRIDE API file listing and/or CSPA web-database download page before any download.
CPTAC_COAD	VERIFIED_PUBLICATION_ONLY	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=EXT_ID:31031003	CPTAC-COAD	PMID:31031003	Prospectively collected primary colon cancer cohort; paired tumor/normal proteomics+phosphoproteomics	UNKNOWN	UNKNOWN	PDC portal metadata first (SPA UI unfetchable via WebFetch)	Use PDC GraphQL/REST API with a scriptable client to record exact study ID, case count and file inventory.
HPA_CRC_cancer_tissue	VERIFIED_LANDING_PAGE	https://www.proteinatlas.org/humanproteome/cancer/data	HPA_cancer	HPA_v25.1_no_single_publication	20 tumor tissue types incl. colorectal (IHC); 21 TCGA types (prognostic); 8,384 samples (RNA); 11 cancers (CPTAC-MS)	AVAILABLE_TSV	NA	HPA portal metadata first	Fetch colorectal-specific download links/sizes and review /about/licence page before any download.
